id,longitude,latitude,service_time,station_name,station_type
178,12.905622,49.295867,0,Penzenmühle,SYSTEM
179,12.905622,49.295867,0,Penzenmühle,SYSTEM
180,12.91232,49.296828,0,"Eschlkam, Cafe Bayerwald",SYSTEM
181,12.912423,49.296765,0,"Eschlkam,  Cafe Bayerwald",SYSTEM
182,12.989645,49.301747,0,Warzenried Einödhof,SYSTEM
183,12.971338,49.296083,0,Warzenried Kirche,SYSTEM
184,12.917323,49.298815,0,Eschlkam Post,SYSTEM
185,12.91711,49.299093,0,"Eschlkam, Post",SYSTEM
186,12.942317,49.29251,0,stachesried Ort,SYSTEM
187,12.942303,49.292605,0,Stachesried Ort,SYSTEM
188,12.922702,49.306077,0,Großaign,SYSTEM
189,12.928137,49.307473,0,Großaign,SYSTEM
190,12.944957,49.313582,0,Neuaign Seugenhof,SYSTEM
191,12.952788,49.324742,0,Neuagin Schachten,SYSTEM
192,12.921898,49.334935,0,Gaishof,SYSTEM
193,12.96832,49.294187,0,warzenried,SYSTEM
194,12.96841,49.294472,0,Warzenried,SYSTEM
195,12.901123,49.270283,0,schwarzenberg,SYSTEM
196,12.901312,49.270393,0,schwarzenberg,SYSTEM
197,12.905888,49.29576,0,ritzenried,SYSTEM
198,12.907332,49.282347,0,ritzenried,SYSTEM
199,12.881362,49.26281,0,oberdörfl,SYSTEM
200,12.88186,49.26305,0,Oberdörfl,SYSTEM
201,12.950302,49.331918,0,"Svh
Schachten",SYSTEM
202,12.95236,49.277727,0,Abzweigung Hohenbuchberg,SYSTEM
203,12.952558,49.277545,0,Abzweig Hinterbuchberg,SYSTEM
206,12.5318,49.087507,0,Witzenzell,SYSTEM
207,12.506612,49.082495,0,Eckerzell,SYSTEM
208,12.506553,49.082487,0,Eckerzell,SYSTEM
209,12.488783,49.080603,0,Arrach,SYSTEM
210,12.488643,49.080512,0,Arrach,SYSTEM
211,12.485858,49.098335,0,Marktplatz,SYSTEM
214,12.45946,49.128792,0,Au,SYSTEM
215,12.467113,49.118592,0,Abzweigung Marienstein,SYSTEM
216,12.472872,49.115588,0,Schweinsberg,SYSTEM
217,12.48306,49.107243,0,Mühltal,SYSTEM
218,12.421118,49.09924,0,"Gfäll, ehemaliger Bahnhof",SYSTEM
219,12.502398,49.106373,0,Völling,SYSTEM
220,12.502638,49.106317,0,Völling,SYSTEM
223,12.488257,49.096832,0,Busbahnhof,SYSTEM
224,12.508895,49.08202,0,Abzweigung Aukenzell,SYSTEM
225,12.803115,49.298725,0,Waradein,SYSTEM
226,12.803178,49.298605,0,Waradein,SYSTEM
227,12.792115,49.292843,0,Ränkam,SYSTEM
228,12.792303,49.29275,0,Ränkam,SYSTEM
229,12.76972,49.29673,0,Degelberg,SYSTEM
230,12.768958,49.296805,0,Degelberg,SYSTEM
231,12.752515,49.312037,0,Gschwand,SYSTEM
232,12.752248,49.3121,0,Gschwand,SYSTEM
233,12.762575,49.309318,0,Lixenried,SYSTEM
234,12.8385,49.30949,0,Bahnhof,SYSTEM
235,12.846067,49.306235,0,Bayplatz,SYSTEM
236,12.893828,49.332523,0,"Daberg, Abzw.",SYSTEM
237,12.89113,49.323598,0,"Daberg, Hs.7",SYSTEM
238,12.88141,49.318773,0,Daberg -Ösbühl,SYSTEM
239,12.871398,49.315162,0,"Seuchau, Mühle",SYSTEM
240,12.841542,49.305378,0,Realschule,SYSTEM
241,12.874405,49.274065,0,Abzweig Sengenbühl,SYSTEM
242,12.866028,49.282555,0,Waldsiedlung,SYSTEM
243,12.866067,49.282748,0,Waldsiedlung,SYSTEM
244,12.861078,49.30259,0,Blätterberg,SYSTEM
245,12.861043,49.302492,0,Blätterberg,SYSTEM
246,12.851335,49.305143,0,Kötztinger Straße,SYSTEM
247,12.851333,49.305037,0,Kötztinger Straße,SYSTEM
248,12.86145,49.288082,0,Unterrappendorf,SYSTEM
249,12.861782,49.288005,0,Unterrappendorf,SYSTEM
252,12.737438,49.306575,0,Ried,SYSTEM
253,12.737638,49.306497,0,Ried,SYSTEM
254,12.881718,49.210098,0,Matheshof,SYSTEM
255,12.881683,49.209868,0,Matheshof,SYSTEM
256,12.903563,49.196137,0,Schönbuchen,SYSTEM
257,12.903558,49.196077,0,Schönbuchen,SYSTEM
258,12.897158,49.198823,0,Berghäuser,SYSTEM
259,12.896827,49.198842,0,Berghäuser,SYSTEM
260,12.884883,49.200188,0,Schule,SYSTEM
261,12.884998,49.200107,0,Schule,SYSTEM
262,12.877785,49.201727,0,Abzweigung Bahnhof,SYSTEM
263,12.877612,49.201793,0,Abzweigung Bahnhof,SYSTEM
264,12.86993,49.19251,0,Fressmannsdorf,SYSTEM
265,12.869813,49.192365,0,Fressmannsdorf,SYSTEM
267,12.878537,49.201972,0,Abzweigung Hubertusweg,SYSTEM
268,12.878882,49.201895,0,Abzweigung Hubertusweg,SYSTEM
269,12.878728,49.206073,0,Allemann,SYSTEM
270,12.878822,49.206298,0,Allemann,SYSTEM
271,12.95101,49.204395,0,Simpering,SYSTEM
272,12.951752,49.204097,0,Simpering,SYSTEM
273,12.919605,49.200597,0,Gotzendorf,SYSTEM
274,12.920018,49.201222,0,Gotzendorf,SYSTEM
275,12.937837,49.204115,0,Sparkasse,SYSTEM
276,12.93807,49.204033,0,Sparkasse,SYSTEM
277,12.931992,49.202482,0,Rosenau,SYSTEM
278,12.931417,49.202462,0,Rosenau,SYSTEM
279,12.869267,49.184265,0,Sperlhammer,SYSTEM
280,12.870888,49.18047,0,Beckendorf,SYSTEM
281,12.871123,49.180473,0,Beckendorf,SYSTEM
282,12.867173,49.176663,0,Zellerthal,SYSTEM
283,12.866033,49.17545,0,Zellerthal,SYSTEM
284,12.861155,49.177607,0,Schulzentrum,SYSTEM
285,12.853323,49.178273,0,AOK,SYSTEM
286,12.853423,49.178195,0,AOK,SYSTEM
287,12.914542,49.158265,0,"Bärndorf, Wartehäuschen",SYSTEM
288,12.9142,49.158305,0,"Bärndorf, Wartehäuschen",SYSTEM
289,12.8568,49.173448,0,Grossparkplatz,SYSTEM
290,12.852012,49.173122,0,Bahnhof,SYSTEM
291,12.856288,49.194927,0,"Haus, Ort",SYSTEM
292,12.857142,49.184252,0,Krankenhaus,SYSTEM
293,12.846462,49.172702,0,Abzweigung Bahnhof,SYSTEM
294,12.845517,49.172485,0,Abzweigung Bahnhof,SYSTEM
295,12.865453,49.172268,0,MB Hirschvogel,SYSTEM
296,12.865453,49.172268,0,MB Hirschvogel,SYSTEM
297,12.857377,49.191858,0,Haus Ortsausgang,SYSTEM
298,12.847823,49.167672,0,Egern,SYSTEM
299,12.843203,49.212252,0,Ramsried Ort,SYSTEM
300,12.886044,49.144019,0,"Bad Kötzting,Wettz., A. Schule",SYSTEM
301,12.886569,49.143167,0,"Bad Kötzting,Wettz., A. Schule",SYSTEM
302,12.881997,49.144956,0,"Bad Kötzting,Wettz., FFW-Haus",SYSTEM
303,12.872728,49.137311,0,"Bad Kötzting,Buchberg",SYSTEM
304,12.864733,49.146181,0,"Bad Kötzting, Sackenried",SYSTEM
305,12.842502,49.215287,0,Liebenstein Abzweigung,SYSTEM
306,12.84939,49.208167,0,Ramsried Post,SYSTEM
307,12.849425,49.208307,0,Ramsried Post,SYSTEM
308,12.85615,49.19794,0,Haus Siedlung,SYSTEM
309,12.856328,49.197927,0,Haus Siedlung,SYSTEM
310,12.857703,49.187525,0,Hauser Mühlberg,SYSTEM
311,12.857487,49.187988,0,Hauser Mühlberg,SYSTEM
313,12.842363,49.178317,0,Am Schinderb.,SYSTEM
314,12.853743,49.229375,0,Abzw. Nieassen,SYSTEM
315,12.85393,49.229367,0,"Thenried, Abzw. Nieassen",SYSTEM
316,12.853778,49.229335,0,Niesassen Abzweigung,SYSTEM
317,12.853915,49.229357,0,Niesassen Abzweigung,SYSTEM
318,12.888047,49.145472,0,"Bad Kötzting, Wettz., Friedh.",SYSTEM
319,12.8988,49.141544,0,"Bad Kötzting,Wettz., Nelzer",SYSTEM
320,12.885775,49.146933,0,"Wettzell, Abzw. Kaitersbach",SYSTEM
321,12.870928,49.15815,0,"Bad Kötzting, Weißenholz",SYSTEM
322,12.847456,49.136458,0,"Bad Kötzting, Ried a. See",SYSTEM
323,12.846208,49.1515,0,"Bad Kötzting, Hafenberg",SYSTEM
324,12.844448,49.16213,0,Weissenregen Wh,SYSTEM
325,12.854257,49.16591,0,Ludwigsburg Kreuzung,SYSTEM
326,12.888139,49.134367,0,"Bad Kötzting,Wettz.,Fischerhof",SYSTEM
